Symbol	Timeframes	DateTime	Open	High	Low	Close	BaseReturn	MidReturn	HigherReturn	BaseMidCorr	BaseHigherCorr	MidHigherCorr	ZScore	SignalType	CorrelationState	PostSignal1Bar(%)	PostSignal5Bars(%)	PostSignal10Bars(%)
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 03:40	2937.57000	2937.72000	2936.89000	2937.47000	0.23000	0.00000	19.69000	-0.165	-0.180	0.000	0.228	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 03:45	2937.56000	2937.61000	2936.70000	2936.85000	-0.62000	0.00000	19.69000	-0.201	-0.128	0.000	-0.770	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 03:50	2936.85000	2939.40000	2936.47000	2938.52000	1.67000	0.00000	19.69000	-0.104	-0.025	0.000	1.703	Divergence Warning	Diverging	-0.02	0.06	0.12
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 03:55	2938.51000	2939.08000	2937.72000	2937.89000	-0.63000	0.00000	19.69000	-0.093	-0.042	0.000	-0.788	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 04:00	2937.89000	2939.12000	2937.54000	2939.12000	1.23000	0.00000	-9.46000	-0.202	-0.058	0.000	1.231	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 04:05	2939.12000	2940.17000	2939.00000	2939.78000	0.66000	0.00000	-9.46000	-0.361	-0.042	0.000	0.755	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 04:10	2939.76000	2941.23000	2939.72000	2941.23000	1.45000	0.00000	-9.46000	-0.377	-0.062	0.000	1.575	Divergence Warning	Diverging	-0.04	0.00	0.10
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 04:15	2941.36000	2941.56000	2939.51000	2940.19000	-1.04000	0.00000	-9.46000	-0.397	-0.047	0.000	-1.286	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 04:20	2940.28000	2940.63000	2938.94000	2939.62000	-0.57000	0.00000	-9.46000	-0.417	-0.041	0.000	-0.707	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 04:25	2939.55000	2940.22000	2939.49000	2939.92000	0.30000	0.00000	-9.46000	-0.418	-0.032	0.000	0.271	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 04:30	2939.59000	2940.37000	2939.41000	2939.55000	-0.37000	0.00000	-9.46000	-0.426	-0.049	0.000	-0.475	None	Diverging	0.00	0.00	0.00
XAUUSD	PERIOD_M5_PERIOD_M15_PERIOD_H1	2025.03.13 04:35	2939.54000	2941.57000	2939.40000	2941.29000	1.74000	0.00000	-9.46000	-0.450	-0.112	0.000	1.745	Divergence Warning	Diverging	0.02	0.09	0.10
